1 (ML): CIA E2 MWT 65 (10, H2Hn)
2 (ML): MWT 65 CIA E2 (10, H2Hn)
3 (M): AIX C3 CIA B3 (10, H2Hn)
4 (M): CIA B3 AIX C3 (10, H2Hn)
5 (ML): CIA E1 NPR B14 (10, H2Hn)
6 (ML): NPR B14 CIA E1 (10, H2Hn)
7 (ML): MWT 65 PCE D4 (16, H2He)
8 (ML): PCE D4 MWT 65 (16, H2He)
9 (S): PCE A8 SEG D30 (8, H2Hn)
10 (S): SEG D30 PCE A8 (8, H2Hn)
11 (S): AIX A12 VDA 33 (8, H2Hn)
12 (S): VDA 33 AIX A12 (8, H2Hn)
13 (S): AIX A11 SEG D29 (8, H2Hn)
14 (S): SEG D29 AIX A11 (8, H2Hn)
15 (M): AIX C2 MWT 75 (6, H2He)
16 (M): MWT 75 AIX C2 (6, H2He)
17 (S): MWT 7 NPR B7 (1, H2He)
18 (S): NPR B7 MWT 7 (1, H2He)
21 (S): SEG D28 NPR B50 (4, H2He)
22 (S): NPR B50 SEG D28 (4, H2He)
23 (S): PCE A9 VDA 32 (8, H2Hn)
24 (S): VDA 32 PCE A9 (8, H2Hn)
25 (M): GBE A8 MWT 75 (0, H2Ne)
26 (M): MWT 75 GBE A8 (0, H2Ne)
27 (M): GBE A8 CIA B3 (7, H2Nn)
28 (M): CIA B3 GBE A8 (7, H2Nn)
29 (M): GBE A8 AIX C3 (6, H2Nn)
30 (M): AIX C3 GBE A8 (6, H2Nn)
101 (ML): CIA E2 MBI 5 (6, H2Nn)
102 (ML): MBI 5 CIA E2 (6, H2Nn)
103 (XS): CIA C14 TOU 5 (10, H2Nn)
104 (XS): TOU 5 CIA C14 (10, H2Nn)
105 (S): CIA D16 RIV 6 (8, H2Nn)
106 (S): RIV 6 CIA D16 (8, H2Nn)
107 (S): CIA D16 RAA B8 (7, H2Nn)
108 (S): RAA B8 CIA D16 (7, H2Nn)
109 (XS): CIA C14 SHI T2-3 (28, H2Nn)
110 (XS): SHI T2-3 CIA C14 (28, H2Nn)
111 (XS): CIA C14 PIA A4 (7, H2Nn)
112 (XS): PIA A4 CIA C14 (7, H2Nn)
113 (XS): CIA C14 MWK 3 (8, H2Nn)
114 (XS): MWK 3 CIA C14 (8, H2Nn)
115 (XS): CIA C14 LBX B4 (8, H2Nn)
116 (XS): LBX B4 CIA C14 (8, H2Nn)
117 (ML): CIA E2 WHT B12 (6, H2Nn)
118 (ML): WHT B12 CIA E2 (6, H2Nn)
119 (ML): CIA E2 TBI 4 (5, H2Nn)
120 (ML): TBI 4 CIA E2 (5, H2Nn)
121 (ML): CIA E2 SAN A4 (5, H2Nn)
122 (ML): SAN A4 CIA E2 (5, H2Nn)
123 (ML): CIA E1 PXA A9 (1, H2Ne)
124 (ML): PXA A9 CIA E1 (1, H2Ne)
125 (ML): CIA E1 KTI F3 (6, H2Nn)
126 (ML): KTI F3 CIA E1 (6, H2Nn)
127 (ML): CIA E1 IXM C27 (6, H2Nn)
128 (ML): IXM C27 CIA E1 (6, H2Nn)
129 (ML): CIA E1 EEA 20 (5, H2Nn)
130 (ML): EEA 20 CIA E1 (5, H2Nn)
131 (MS): CIA B4 WZA B6 (7, H2Nn)
132 (MS): WZA B6 CIA B4 (7, H2Nn)
133 (M): CIA B3 CHB 32 (7, H2Nn)
134 (M): CHB 32 CIA B3 (7, H2Nn)
135 (S): CIA C5 GOD A12 (21, H2Ne)
136 (S): GOD A12 CIA C5 (21, H2Ne)
137 (S): CIA D16 ZRZ A2 (3, H2Nn)
138 (S): ZRZ A2 CIA D16 (3, H2Nn)
139 (S): CIA D16 YST 10 (3, H2Nn)
140 (S): YST 10 CIA D16 (3, H2Nn)
141 (S): CIA C13 YNB B2 (5, H2Nn)
142 (S): YNB B2 CIA C13 (5, H2Nn)
143 (S): CIA C13 WMA C8 (4, H2Nn)
144 (S): WMA C8 CIA C13 (4, H2Nn)
145 (S): CIA C13 VEX 3 (3, H2Nn)
146 (S): VEX 3 CIA C13 (3, H2Nn)
147 (S): CIA C13 TSN 1 (3, H2Nn)
148 (S): TSN 1 CIA C13 (3, H2Nn)
149 (S): CIA C13 SVS A3 (4, H2Nn)
150 (S): SVS A3 CIA C13 (4, H2Nn)
151 (S): CIA C12 SND 3 (4, H2Nn)
152 (S): SND 3 CIA C12 (4, H2Nn)
153 (S): CIA C12 RVC A5 (3, H2Nn)
154 (S): RVC A5 CIA C12 (3, H2Nn)
155 (S): CIA C12 RVA R27 (5, H2Nn)
156 (S): RVA R27 CIA C12 (5, H2Nn)
157 (S): CIA C12 RSA 7 (3, H2Nn)
158 (S): RSA 7 CIA C12 (3, H2Nn)
159 (S): CIA C12 WCC 3 (25, H2Nn)
160 (S): WCC 3 CIA C12 (25, H2Nn)
161 (S): CIA C11 OPA B23 (5, H2Nn)
162 (S): OPA B23 CIA C11 (5, H2Nn)
163 (S): CIA C11 NMW T2-3 (4, H2Nn)
164 (S): NMW T2-3 CIA C11 (4, H2Nn)
165 (S): CIA C11 NIB 6 (3, H2Nn)
166 (S): NIB 6 CIA C11 (3, H2Nn)
167 (S): CIA C11 MPI A14 (2, H2Nn)
168 (S): MPI A14 CIA C11 (2, H2Nn)
169 (S): CIA C11 MFM 4 (3, H2Nn)
170 (S): MFM 4 CIA C11 (3, H2Nn)
171 (S): CIA C10 MCI 24 (5, H2Nn)
172 (S): MCI 24 CIA C10 (5, H2Nn)
173 (S): CIA C10 MBA 1 (4, H2Nn)
174 (S): MBA 1 CIA C10 (4, H2Nn)
175 (S): CIA C10 LFA B2 (3, H2Nn)
176 (S): LFA B2 CIA C10 (3, H2Nn)
177 (S): CIA C10 JDL B13 (2, H2Nn)
178 (S): JDL B13 CIA C10 (2, H2Nn)
179 (S): CIA C10 IAS A5 (2, H2Nn)
180 (S): IAS A5 CIA C10 (2, H2Nn)
181 (S): CIA C9 HGW 3 (4, H2Nn)
182 (S): HGW 3 CIA C9 (4, H2Nn)
183 (S): CIA C9 GSM 7 (3, H2Nn)
184 (S): GSM 7 CIA C9 (3, H2Nn)
185 (S): CIA C9 GSA 5 (2, H2Nn)
186 (S): GSA 5 CIA C9 (2, H2Nn)
189 (S): CIA C9 FCE 3 (3, H2Nn)
190 (S): FCE 3 CIA C9 (3, H2Nn)
191 (S): CIA C8 EBI E3 (5, H2Nn)
192 (S): EBI E3 CIA C8 (5, H2Nn)
193 (S): CIA C8 DBI 30 (5, H2Nn)
194 (S): DBI 30 CIA C8 (5, H2Nn)
195 (S): CIA C8 CWB 6 (3, H2Nn)
196 (S): CWB 6 CIA C8 (3, H2Nn)
197 (S): CIA C8 COA 1 (3, H2Nn)
198 (S): COA 1 CIA C8 (3, H2Nn)
199 (S): CIA C8 CAR 8 (5, H2Nn)
200 (S): CAR 8 CIA C8 (5, H2Nn)
201 (S): CIA C7 CAL B4 (5, H2Nn)
202 (S): CAL B4 CIA C7 (5, H2Nn)
203 (S): CIA C7 BIR 5 (5, H2Nn)
204 (S): BIR 5 CIA C7 (5, H2Nn)
205 (S): CIA C7 BED A4 (5, H2Nn)
206 (S): BED A4 CIA C7 (5, H2Nn)
207 (S): CIA C7 AXB 3 (4, H2Nn)
208 (S): AXB 3 CIA C7 (4, H2Nn)
209 (S): CIA C7 ARD 3 (3, H2Nn)
210 (S): ARD 3 CIA C7 (3, H2Nn)
211 (S): CIA C6 ANA 20 (5, H2Nn)
212 (S): ANA 20 CIA C6 (5, H2Nn)
213 (S): CIA C6 AMA 13 (4, H2Nn)
214 (S): AMA 13 CIA C6 (4, H2Nn)
215 (S): CIA C6 AIS 5 (3, H2Nn)
216 (S): AIS 5 CIA C6 (3, H2Nn)
217 (S): CIA C6 AFK B15 (4, H2Nn)
218 (S): AFK B15 CIA C6 (4, H2Nn)
219 (S): CIA C6 ACA 4 (4, H2Nn)
220 (S): ACA 4 CIA C6 (4, H2Nn)
221 (S): CIA C5 ABN E1 (5, H2Nn)
222 (S): ABN E1 CIA C5 (5, H2Nn)
223 (ML): CIA A2 ERZ B11 (2, H2Ne)
224 (ML): ERZ B11 CIA A2 (2, H2Ne)
225 (ML): CIA A2 BVL B16 (7, H2Nn)
226 (ML): BVL B16 CIA A2 (7, H2Nn)
227 (ML): CIA A2 ABG I4 (2, H2Ne)
228 (ML): ABG I4 CIA A2 (2, H2Ne)
229 (M): CIA B3 DJE 4 (1, H2Ne)
230 (M): DJE 4 CIA B3 (1, H2Ne)
231 (S): CIA C9 MWL 15 (5, H2Nn)
232 (S): MWL 15 CIA C9 (5, H2Nn)
233 (ML): CIA A2 FYI D1 (0, H2Ne)
234 (ML): FYI D1 CIA A2 (0, H2Ne)
235 (S): CIA C5 PFR 6 (4, H2Nn)
236 (S): PFR 6 CIA C5 (4, H2Nn)
237 (ML): CIA A2 CWI 8 (0, H2Ne)
238 (ML): CWI 8 CIA A2 (0, H2Ne)
239 (M): CIA A3 DFM 69 (2, H2Ne)
240 (M): DFM 69 CIA A3 (2, H2Ne)
241 (S): CIA C5 CAP 7 (3, H2Nn)
242 (S): CAP 7 CIA C5 (3, H2Nn)
243 (S): CIA C5 GLA B5 (3, H2Nn)
244 (S): GLA B5 CIA C5 (3, H2Nn)
245 (S): CIA D16 DCA 6 (3, H2Nn)
246 (S): DCA 6 CIA D16 (3, H2Nn)
301 (ML): PCE D3 MBI 5 (7, H2Nn)
302 (ML): MBI 5 PCE D3 (7, H2Nn)
303 (S): PCE B2 SVS B1 (25, H2Nn)
304 (S): SVS B1 PCE B2 (25, H2Nn)
305 (S): PCE A9 PCA B2 (25, H2Nn)
306 (S): PCA B2 PCE A9 (25, H2Nn)
307 (S): PCE A9 RIV 6 (8, H2Nn)
308 (S): RIV 6 PCE A9 (8, H2Nn)
309 (S): PCE A9 RAA B8 (6, H2Nn)
310 (S): RAA B8 PCE A9 (6, H2Nn)
311 (S): PCE A9 EMI →9 (25, H2Nn)
312 (S): EMI →9 PCE A9 (25, H2Nn)
313 (ML): PCE D4 WHT B12 (7, H2Nn)
314 (ML): WHT B12 PCE D4 (7, H2Nn)
315 (ML): PCE D4 TBI 4 (7, H2Nn)
316 (ML): TBI 4 PCE D4 (7, H2Nn)
317 (ML): PCE D4 SAN A4 (7, H2Nn)
318 (ML): SAN A4 PCE D4 (7, H2Nn)
319 (ML): PCE D3 IXM C27 (7, H2Nn)
320 (ML): IXM C27 PCE D3 (7, H2Nn)
321 (ML): PCE D3 EEA 20 (7, H2Nn)
322 (ML): EEA 20 PCE D3 (7, H2Nn)
323 (S): PCE B2 RVC A5 (5, H2Nn)
324 (S): RVC A5 PCE B2 (5, H2Nn)
325 (S): PCE B2 RSN 4 (3, H2Nn)
326 (S): RSN 4 PCE B2 (3, H2Nn)
327 (S): PCE B2 RSA 7 (5, H2Nn)
328 (S): RSA 7 PCE B2 (5, H2Nn)
329 (S): PCE B2 RED 9 (4, H2Nn)
330 (S): RED 9 PCE B2 (4, H2Nn)
331 (S): PCE A8 OSI A2 (7, H2Nn)
332 (S): OSI A2 PCE A8 (7, H2Nn)
333 (S): PCE A8 MWL 15 (3, H2Nn)
334 (S): MWL 15 PCE A8 (3, H2Nn)
335 (S): PCE A8 VEX 3 (5, H2Nn)
336 (S): VEX 3 PCE A8 (5, H2Nn)
337 (S): PCE A8 FWC B6 (4, H2Nn)
338 (S): FWC B6 PCE A8 (4, H2Nn)
339 (S): PCE A7 AMA 13 (5, H2Nn)
340 (S): AMA 13 PCE A7 (5, H2Nn)
341 (S): PCE A7 YST 10 (5, H2Nn)
342 (S): YST 10 PCE A7 (5, H2Nn)
343 (S): PCE A7 YNB B2 (5, H2Nn)
344 (S): YNB B2 PCE A7 (5, H2Nn)
345 (S): PCE A7 RNN 3 (5, H2Nn)
346 (S): RNN 3 PCE A7 (5, H2Nn)
347 (S): PCE A7 CAP 7 (5, H2Nn)
348 (S): CAP 7 PCE A7 (5, H2Nn)
349 (S): PCE A6 TSN 1 (5, H2Nn)
350 (S): TSN 1 PCE A6 (5, H2Nn)
351 (S): PCE A6 TSA C1 (5, H2Nn)
352 (S): TSA C1 PCE A6 (5, H2Nn)
353 (S): PCE A6 SSR A5 (4, H2Nn)
354 (S): SSR A5 PCE A6 (4, H2Nn)
355 (S): PCE A6 SIA A3 (3, H2Nn)
356 (S): SIA A3 PCE A6 (3, H2Nn)
357 (S): PCE A6 PXL 5 (5, H2Nn)
358 (S): PXL 5 PCE A6 (5, H2Nn)
359 (S): PCE A5 PMA 2 (5, H2Nn)
360 (S): PMA 2 PCE A5 (5, H2Nn)
361 (S): PCE A5 PIA A6 (5, H2Nn)
362 (S): PIA A6 PCE A5 (5, H2Nn)
363 (S): PCE A5 OPA B23 (5, H2Nn)
364 (S): OPA B23 PCE A5 (5, H2Nn)
365 (S): PCE A5 OCD 8 (3, H2Nn)
366 (S): OCD 8 PCE A5 (3, H2Nn)
367 (S): PCE A5 NPS 1 (3, H2Nn)
368 (S): NPS 1 PCE A5 (3, H2Nn)
369 (S): PCE A4 NMW T2-3 (5, H2Nn)
370 (S): NMW T2-3 PCE A4 (5, H2Nn)
371 (S): PCE A4 NHR 20 (4, H2Nn)
372 (S): NHR 20 PCE A4 (4, H2Nn)
373 (S): PCE A4 NGY B5 (3, H2Nn)
374 (S): NGY B5 PCE A4 (3, H2Nn)
375 (S): PCE A4 MWK 6 (5, H2Nn)
376 (S): MWK 6 PCE A4 (5, H2Nn)
377 (S): PCE A4 MSA 10 (5, H2Nn)
378 (S): MSA 10 PCE A4 (5, H2Nn)
379 (S): PCE A3 MPI A14 (5, H2Nn)
380 (S): MPI A14 PCE A3 (5, H2Nn)
381 (S): PCE A3 MCI 24 (4, H2Nn)
382 (S): MCI 24 PCE A3 (4, H2Nn)
383 (S): PCE A3 MBA 1 (3, H2Nn)
384 (S): MBA 1 PCE A3 (3, H2Nn)
385 (S): PCE A3 LPI 3 (4, H2Nn)
386 (S): LPI 3 PCE A3 (4, H2Nn)
